,Ind_risk,Mngmt_risk,flex,cread,comp,oper_risk
199,N,N,N,P,N,N
200,N,N,N,N,N,P
201,N,N,N,N,N,A
202,N,N,N,A,N,P
203,P,N,N,N,N,P
204,P,A,N,N,N,N
205,P,N,N,N,N,N
206,N,A,N,N,N,P
207,N,N,N,N,N,A
208,A,A,N,N,N,N
209,A,A,N,N,N,N
210,N,N,N,A,N,N
211,N,N,A,N,N,N
212,P,N,N,N,N,N
213,A,N,N,N,N,N
214,N,N,N,N,N,N
215,N,A,P,A,N,P
216,P,N,N,N,N,N
217,N,A,N,N,N,P
218,N,N,N,N,N,A
219,A,A,N,N,N,N
220,A,A,N,N,N,P
221,A,N,N,N,N,N
222,P,A,N,N,N,A
223,P,N,N,N,N,P
224,P,A,N,N,N,N
225,P,N,N,N,N,N
226,N,A,N,N,N,P
227,N,N,N,N,N,A
228,A,A,N,N,N,N
229,A,A,N,N,N,N
230,A,P,N,N,N,N
231,P,A,N,N,N,N
232,A,N,N,N,N,N
233,N,N,N,N,N,N
234,N,A,N,N,N,N
235,A,N,N,N,N,A
236,P,N,N,N,N,N
237,N,P,N,N,N,N
238,A,P,N,A,N,N
239,N,N,N,N,N,N
240,N,N,N,A,N,A
241,N,N,N,N,N,P
242,N,N,N,N,N,A
243,N,N,N,A,N,P
244,N,N,N,A,N,N
245,N,N,A,N,N,N
246,P,N,N,N,N,N
247,A,N,N,N,N,N
248,N,N,N,N,N,N
249,P,N,N,N,A,A
