,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
46,829,Germany,Female,27,9,112045.67,1,yes,yes,119708.21
47,637,Germany,Female,39,9,137843.8,1,yes,yes,117622.8
48,550,Germany,Male,38,2,103391.38,1,no,yes,90878.13
49,776,Germany,Female,37,2,103769.22,2,yes,no,194099.12
50,698,Germany,Male,44,10,116363.37,2,yes,no,198059.16
51,585,Germany,Male,36,5,146050.97,2,no,no,86424.57
52,788,France,Female,33,5,0.0,2,no,no,116978.19
53,655,Germany,Male,41,8,125561.97,1,no,no,164040.94
54,601,Germany,Male,42,1,98495.72,1,yes,no,40014.76
55,619,France,Male,43,1,125211.92,1,yes,yes,113410.49
56,656,France,Male,45,5,127864.4,1,yes,no,87107.57
57,725,Germany,Male,19,0,75888.2,1,no,no,45613.75
58,511,Spain,Female,66,4,0.0,1,yes,no,1643.11
59,614,France,Male,51,4,40685.92,1,yes,yes,46775.28
60,742,Germany,Male,35,5,136857.0,1,no,no,84509.57
61,687,Germany,Female,27,9,152328.88,2,no,no,126494.82
62,555,Spain,Male,33,1,56084.69,2,no,no,178798.13
63,684,Spain,Male,56,8,78707.16,1,yes,yes,99398.36
64,603,Germany,Male,26,4,109166.37,1,yes,yes,92840.67
65,751,Germany,Female,36,6,169831.46,2,yes,yes,27758.36
66,581,Germany,Female,34,1,101633.04,1,yes,no,110431.51
67,735,Germany,Male,43,10,123180.01,2,yes,yes,196673.28
68,661,Germany,Female,35,5,150725.53,2,no,yes,113656.85
69,675,France,Female,21,8,98373.26,1,yes,no,18203.0
70,738,Germany,Male,58,2,133745.44,4,yes,no,28373.86
71,813,France,Male,29,6,0.0,1,yes,no,33953.87
72,657,Spain,Female,37,0,163607.18,1,no,yes,44203.55
73,604,Germany,Female,25,5,157780.84,2,yes,yes,58426.81
74,519,France,Male,36,9,0.0,2,no,yes,145562.4
75,735,France,Female,21,1,178718.19,2,yes,no,22388.0
76,664,France,Male,55,8,0.0,2,yes,yes,139161.64
77,678,France,Female,32,9,0.0,1,yes,yes,148210.64
78,757,Spain,Male,33,5,77253.22,1,no,yes,194239.63
79,416,Germany,Female,41,10,122189.66,2,yes,no,98301.61
80,665,France,Female,34,1,96645.54,2,no,no,171413.66
81,777,France,Female,32,2,0.0,1,yes,no,136458.19
82,543,France,Female,36,3,0.0,2,no,no,26019.59
83,506,France,Female,34,4,90307.62,1,yes,yes,159235.29
84,493,France,Female,46,4,0.0,2,yes,no,1907.66
85,652,Spain,Female,75,10,0.0,2,yes,yes,114675.75
86,750,Spain,Male,22,3,121681.82,1,yes,no,128643.35
87,729,France,Male,30,9,0.0,2,yes,no,151869.35
88,646,France,Female,46,4,0.0,3,yes,no,93251.42
89,635,Germany,Female,28,3,81623.67,2,yes,yes,156791.36
90,647,Spain,Female,44,5,0.0,3,yes,yes,174205.22
91,808,France,Male,45,7,118626.55,2,yes,no,147132.46
92,524,France,Female,36,10,0.0,2,yes,no,109614.57
93,769,France,Male,29,8,0.0,2,yes,yes,172290.61
94,730,Spain,Male,42,4,0.0,2,no,yes,85982.47
95,515,Spain,Male,35,10,176273.95,1,no,yes,121277.78
96,773,Spain,Male,41,9,102827.44,1,no,yes,64595.25
97,814,Germany,Male,29,8,97086.4,2,yes,yes,197276.13
98,710,Spain,Male,22,8,0.0,2,no,no,99645.04
99,413,France,Male,34,9,0.0,2,no,no,6534.18
100,665,France,Female,40,6,0.0,1,yes,yes,161848.03
101,623,France,Female,44,6,0.0,2,no,no,167162.43
102,738,France,Male,31,9,82674.15,1,yes,no,41970.72
103,528,Spain,Male,36,7,0.0,2,yes,no,60536.56
104,670,Spain,Female,65,1,0.0,1,yes,yes,177655.68
105,622,Spain,Female,46,4,107073.27,2,yes,yes,30984.59
106,582,Germany,Male,32,1,88938.62,1,yes,yes,10054.53
107,785,Germany,Female,36,2,99806.85,1,no,yes,36976.52
108,605,Spain,Male,33,5,150092.8,1,no,no,71862.79
109,479,Germany,Male,35,9,92833.89,1,yes,no,99449.86
110,685,Germany,Male,30,3,90536.81,1,no,yes,63082.88
111,538,Germany,Male,39,7,108055.1,2,yes,no,27231.26
112,562,France,Male,42,2,100238.35,1,no,no,86797.41
113,675,Spain,Male,36,9,106190.55,1,no,yes,22994.32
114,721,Germany,Male,28,9,154475.54,2,no,yes,101300.94
115,628,Germany,Female,30,9,132351.29,2,yes,yes,74169.13
116,668,Germany,Female,37,6,167864.4,1,yes,no,115638.29
117,506,France,Female,41,1,0.0,2,yes,no,31766.3
118,524,Germany,Female,31,8,107818.63,1,yes,no,199725.39
119,699,Germany,Male,34,4,185173.81,2,yes,no,120834.48
120,828,France,Male,34,8,129433.34,2,no,no,38131.77
121,674,Spain,Male,39,6,120193.42,1,no,no,100130.95
122,656,France,Female,39,6,0.0,2,yes,no,141069.88
123,684,Germany,Female,48,10,126384.42,1,yes,yes,198129.36
124,625,France,Female,28,3,0.0,1,no,no,183646.41
125,432,France,Male,42,9,152603.45,1,yes,no,110265.24
126,549,France,Female,52,1,0.0,1,no,yes,8636.05
127,625,Germany,Male,56,0,148507.24,1,yes,no,46824.08
128,828,France,Female,41,7,0.0,2,yes,no,171378.77
129,770,France,Male,24,9,101827.07,1,yes,no,167256.35
130,758,France,Female,34,3,0.0,2,yes,yes,124226.16
131,795,Germany,Female,33,9,130862.43,1,yes,yes,114935.21
132,687,France,Male,38,9,122570.87,1,yes,yes,35608.88
133,686,France,Male,25,1,0.0,2,no,yes,16459.37
134,789,Germany,Male,39,7,124828.46,2,yes,yes,124411.08
135,589,Germany,Female,50,5,144895.05,2,yes,yes,34941.23
136,461,Germany,Female,34,5,63663.93,1,no,yes,167784.28
137,637,France,Male,40,2,133463.1,1,no,yes,93165.34
138,584,Spain,Female,48,2,213146.2,1,yes,no,75161.25
139,579,Spain,Female,35,1,129490.36,2,no,yes,8590.83
140,756,Germany,Male,44,10,137452.09,1,yes,no,189543.9
141,663,France,Male,34,7,0.0,2,yes,yes,180427.24
142,682,France,Female,43,5,125851.93,1,yes,yes,193318.33
143,793,Spain,Male,52,2,0.0,1,yes,no,159123.82
144,691,France,Female,31,5,40915.55,1,yes,no,126213.84
145,485,Spain,Female,21,5,113157.22,1,yes,yes,54141.5
146,635,Spain,Female,29,8,138296.94,2,yes,no,141075.51
147,650,France,Male,37,5,106967.18,1,no,no,24495.03
148,735,France,Male,44,9,120681.63,1,yes,no,74836.34
149,416,France,Male,32,0,0.0,2,no,yes,878.87
150,754,Spain,Female,32,7,0.0,2,yes,no,89520.75
151,535,France,Female,48,9,0.0,1,yes,no,149892.79
152,716,Spain,Male,42,8,0.0,2,yes,no,180800.42
153,539,France,Male,37,2,127609.59,1,yes,no,98646.22
154,614,France,Female,43,6,0.0,2,yes,yes,109041.53
155,706,Spain,Male,57,7,0.0,1,yes,no,17941.16
156,758,France,Female,33,7,0.0,2,no,no,82996.47
157,586,Spain,Female,28,2,0.0,2,yes,yes,92067.35
158,646,France,Female,73,6,97259.25,1,no,yes,104719.66
159,631,Germany,Female,33,4,123246.7,1,no,no,112687.57
160,717,Spain,Female,22,6,101060.25,1,no,yes,84699.56
161,684,France,Male,30,2,0.0,2,yes,no,83473.82
162,800,France,Female,49,7,108007.36,1,no,no,47125.11
163,721,Spain,Female,36,2,0.0,2,yes,yes,106977.8
164,683,Spain,Male,29,0,133702.89,1,yes,no,55582.54
165,660,Germany,Male,31,9,125189.75,2,yes,yes,139874.43
166,704,Germany,Female,24,7,113034.22,1,yes,no,162503.48
167,615,Spain,Female,41,9,109013.23,1,yes,no,196499.96
168,667,Spain,Female,39,2,0.0,2,yes,no,40721.24
169,682,Germany,Male,24,9,57929.81,2,no,no,53134.3
170,484,France,Female,29,4,130114.39,1,yes,no,164017.89
171,628,Germany,Male,27,5,95826.49,2,yes,no,155996.96
172,480,Germany,Male,44,10,129608.57,1,yes,no,5472.7
173,578,France,Male,30,4,169462.09,1,yes,no,112187.11
174,512,France,Male,40,5,0.0,2,yes,yes,146457.83
175,484,Spain,Female,35,7,133868.21,1,yes,yes,27286.1
176,510,France,Female,30,0,0.0,2,yes,yes,130553.47
177,606,Germany,Male,36,5,190479.48,2,no,no,179351.89
178,597,Spain,Female,40,8,101993.12,1,no,yes,94774.12
179,754,Germany,Female,55,3,161608.81,1,yes,no,8080.85
180,850,Spain,Female,45,2,122311.21,1,yes,yes,19482.5
181,510,France,Male,65,2,0.0,2,yes,yes,48071.61
182,778,Germany,Female,45,1,162150.42,2,yes,no,174531.27
183,636,France,Male,42,2,0.0,2,yes,yes,55470.78
184,804,France,Female,50,4,0.0,1,yes,yes,8546.87
185,514,France,Male,32,8,0.0,2,yes,no,95857.18
186,730,France,Female,39,1,99010.67,1,yes,no,194945.8
187,525,Spain,Female,37,0,0.0,1,no,yes,131521.72
188,616,Spain,Male,30,5,0.0,2,no,yes,196108.51
189,687,Germany,Female,34,7,111388.18,2,yes,no,148564.76
190,715,France,Female,41,8,56214.85,2,no,no,92982.61
191,512,France,Female,36,3,84327.77,2,yes,no,17675.36
192,479,France,Male,40,1,0.0,2,no,no,114996.43
193,601,France,Male,32,8,93012.89,1,yes,no,86957.42
194,580,Spain,Male,29,9,61710.44,2,yes,no,128077.8
195,807,France,Male,35,3,174790.15,1,yes,yes,600.36
196,616,Spain,Female,32,6,0.0,2,yes,yes,43001.46
197,721,Germany,Male,37,3,107720.64,1,yes,yes,158591.12
198,501,France,Male,57,10,0.0,2,yes,yes,47847.19
199,521,France,Male,35,6,96423.84,1,yes,no,10488.44
200,850,Spain,Male,30,2,141040.01,1,yes,yes,5978.2
201,759,France,Male,42,4,105420.18,1,no,yes,121409.06
202,516,Spain,Male,50,5,0.0,1,no,yes,146145.93
203,711,France,Female,38,2,129022.06,2,yes,yes,14374.86
204,512,Spain,Male,33,3,176666.62,1,yes,no,94670.77
205,550,France,Male,37,3,0.0,1,yes,yes,179670.31
206,608,Spain,Female,41,3,89763.84,1,no,no,199304.74
207,618,France,Male,34,5,134954.53,1,yes,yes,151954.39
208,643,France,Male,45,5,0.0,1,yes,no,142513.5
209,671,France,Male,45,2,106376.85,1,no,yes,158264.62
210,689,Germany,Male,33,2,161814.64,2,yes,no,169381.9
211,603,France,Male,31,8,0.0,2,yes,yes,169915.02
212,620,France,Female,41,9,0.0,2,no,no,88852.47
213,676,France,Female,34,1,63095.01,1,yes,yes,40645.81
214,572,Germany,Male,26,4,118287.01,2,no,no,60427.3
215,668,Germany,Male,47,7,106854.21,1,no,yes,157959.02
216,695,France,Male,46,7,49512.55,1,yes,no,133007.34
217,730,Spain,Female,33,9,0.0,2,no,no,176576.62
218,807,France,Male,43,1,105799.32,2,yes,no,34888.04
219,592,France,Male,54,8,0.0,1,yes,yes,28737.71
220,726,France,Female,31,9,114722.05,2,yes,yes,98178.57
221,514,Spain,Male,30,7,0.0,1,no,yes,125010.24
222,567,France,Male,42,2,0.0,2,yes,yes,167984.61
223,850,France,Male,33,10,0.0,1,yes,no,4861.72
224,671,Germany,Male,45,6,99564.22,1,yes,yes,108872.45
225,670,France,Male,37,4,170557.91,2,yes,no,198252.88
226,694,France,Female,30,9,0.0,2,yes,yes,26960.31
227,547,Germany,Female,39,6,74596.15,3,yes,yes,85746.52
228,751,Germany,Male,50,2,96888.39,1,yes,no,77206.25
229,594,Germany,Female,29,3,130830.22,1,yes,no,61048.53
230,673,France,Male,72,1,0.0,2,no,yes,111981.19
231,610,France,Male,40,0,0.0,2,yes,no,62232.6
232,512,France,Female,37,1,0.0,2,no,yes,156105.03
233,767,Germany,Male,20,3,119714.25,2,no,yes,150135.38
234,585,France,Female,67,5,113978.97,2,no,yes,93146.11
235,763,Germany,Male,42,6,100160.75,1,yes,no,33462.94
236,712,France,Female,29,2,0.0,1,yes,yes,144375.0
237,539,Germany,Female,43,3,116220.5,3,yes,no,55803.96
238,668,France,Female,46,2,0.0,3,yes,no,89048.46
239,703,France,Male,28,2,81173.83,2,no,yes,162812.16
240,662,Spain,Male,38,4,0.0,2,yes,no,136259.65
241,725,Germany,Female,39,5,116803.8,1,yes,no,124052.97
242,703,France,Male,37,8,105961.68,2,no,yes,74158.8
243,659,Germany,Male,67,6,117411.6,1,yes,yes,45071.09
244,523,Spain,Male,34,7,0.0,2,yes,no,62030.06
245,635,France,Female,40,10,123497.58,1,yes,no,131953.23
246,772,Germany,Male,26,7,152400.51,2,yes,no,79414.0
247,545,France,Female,26,1,0.0,2,yes,yes,199638.56
248,634,Germany,Male,24,8,103097.85,1,yes,yes,157577.29
249,739,Germany,Male,54,8,126418.14,1,yes,no,134420.75
250,771,Germany,Female,36,5,77846.9,1,no,no,99805.99
251,587,Spain,Female,34,1,0.0,2,yes,yes,97932.68
252,681,France,Female,79,0,0.0,2,no,yes,170968.99
253,544,Germany,Male,37,2,79731.91,1,yes,yes,57558.95
254,696,Spain,Male,28,8,0.0,1,no,no,176713.47
255,766,Spain,Male,41,0,0.0,2,no,yes,34283.23
256,727,France,Male,34,10,0.0,2,yes,yes,198637.34
257,671,Germany,Female,34,6,37266.67,2,no,no,156917.12
258,693,France,Female,30,6,127992.25,1,yes,yes,50457.2
259,850,Germany,Male,38,3,54901.01,1,yes,yes,140075.55
260,732,Germany,Male,42,9,108748.08,2,yes,yes,65323.11
261,726,Spain,Female,48,6,99906.19,1,yes,no,64323.24
262,557,France,Female,32,6,184686.41,2,yes,no,14956.44
263,682,France,Female,26,0,110654.02,1,no,yes,111879.21
264,738,Spain,Male,31,9,79019.8,1,yes,yes,18606.23
265,531,Spain,Female,36,9,99240.51,1,yes,no,123137.01
266,498,France,Male,34,2,0.0,2,yes,yes,148528.24
267,651,France,Male,36,7,0.0,2,yes,no,13898.31
268,549,Spain,Female,39,7,0.0,1,no,no,81259.25
269,791,Germany,Female,35,7,52436.2,1,yes,no,161051.75
270,650,Spain,Male,41,9,0.0,2,no,yes,191599.67
271,733,Germany,Male,34,3,100337.96,3,yes,no,48559.19
272,811,Germany,Female,34,1,149297.19,2,yes,yes,186339.74
273,707,France,Male,30,8,0.0,2,yes,no,33159.37
274,712,Germany,Male,28,4,145605.44,1,no,yes,93883.53
275,706,Spain,Female,37,7,0.0,2,yes,yes,110899.3
276,756,France,Male,62,3,0.0,1,yes,yes,11199.04
277,777,France,Female,53,10,0.0,2,yes,no,189992.97
278,646,France,Male,35,6,84026.86,1,no,yes,164255.69
279,714,France,Male,46,1,0.0,1,yes,no,152167.79
280,782,France,Male,39,8,0.0,2,yes,yes,33949.67
281,775,Spain,Male,29,10,0.0,2,yes,yes,68143.93
282,479,Germany,Male,35,4,138718.92,1,yes,yes,47251.79
283,807,France,Male,42,7,118274.71,1,yes,yes,25885.72
284,799,France,Female,22,8,174185.98,2,no,yes,192633.85
285,675,France,Male,40,7,113208.86,2,yes,no,34577.36
286,602,Spain,Male,29,5,103907.28,1,yes,no,161229.84
287,475,France,Female,32,8,119023.28,1,yes,no,100816.29
288,744,Spain,Female,26,5,166297.89,1,yes,yes,181694.44
289,588,Spain,Male,34,10,0.0,2,yes,no,79078.91
290,703,Germany,Male,42,9,63227.0,1,no,yes,137316.32
291,747,Spain,Female,41,5,94521.17,2,yes,no,194926.86
292,583,France,Male,27,7,0.0,2,yes,no,51285.49
293,750,Spain,Female,34,9,112822.26,1,no,no,150401.53
294,681,France,Male,38,3,0.0,2,yes,yes,112491.96
295,773,France,Male,25,2,135903.33,1,yes,no,73656.38
296,714,France,Female,31,4,125169.26,1,yes,yes,106636.89
297,687,Spain,Female,44,7,0.0,3,yes,no,155853.52
298,511,France,Male,58,0,149117.31,1,yes,yes,162599.51
299,627,France,Male,33,5,0.0,2,yes,yes,103737.82
300,694,France,Female,31,10,0.0,2,yes,no,160990.27
301,616,Spain,Female,36,6,132311.71,1,no,no,15462.84
302,687,France,Male,35,8,0.0,2,yes,no,10334.05
303,712,France,Female,33,6,0.0,2,yes,yes,190686.16
304,553,France,Male,33,4,118082.89,1,no,no,94440.45
305,667,France,Male,31,1,119266.69,1,yes,yes,28257.63
306,731,France,Male,43,2,0.0,1,yes,yes,170034.95
307,629,Germany,Male,35,7,156847.29,2,yes,no,31824.29
308,614,France,Male,50,4,137104.47,1,yes,no,127166.49
309,438,Germany,Male,31,8,78398.69,1,yes,no,44937.01
310,652,France,Female,80,4,0.0,2,yes,yes,188603.07
311,729,Germany,Male,30,6,63669.42,1,yes,no,145111.37
312,642,France,Male,38,3,0.0,2,no,no,171463.83
313,806,Germany,Female,59,0,135296.33,1,yes,no,182822.5
314,744,Spain,Male,36,2,153804.44,1,yes,yes,87213.33
315,474,Spain,Male,37,3,0.0,2,no,no,57175.32
316,559,France,Male,49,2,147069.78,1,yes,no,120540.83
317,706,Spain,Male,42,9,0.0,2,yes,yes,28714.34
318,628,Spain,Female,22,3,0.0,1,yes,no,85426.28
319,429,France,Male,24,4,95741.75,1,yes,no,46170.75
320,525,Spain,Female,57,2,145965.33,1,yes,yes,64448.36
321,680,France,Female,30,8,141441.75,1,yes,yes,16278.97
322,749,France,Male,40,1,139290.41,1,yes,no,182855.42
323,763,France,Female,31,4,0.0,2,no,no,50404.72
324,734,France,Male,30,3,0.0,2,yes,no,107640.25
325,716,France,Male,35,4,144428.87,1,yes,no,134132.65
326,594,France,Male,35,2,0.0,2,yes,no,103480.69
327,644,France,Female,46,9,95441.27,1,yes,no,108761.05
328,671,Germany,Male,35,1,144848.74,1,yes,yes,179012.3
329,664,Germany,Male,26,7,116244.14,2,yes,yes,95145.14
330,656,France,Male,50,7,0.0,2,no,yes,72143.44
331,667,Spain,Female,40,1,146502.07,1,yes,no,19162.89
332,663,Germany,Male,44,2,117028.6,2,no,yes,144680.18
333,584,Germany,Female,30,8,112013.81,1,yes,no,177772.03
334,626,Spain,Female,37,6,108269.37,1,yes,no,5597.94
335,485,France,Male,29,7,182123.79,1,yes,no,116828.51
336,659,Germany,Female,32,3,150923.74,2,no,yes,174652.51
337,649,France,Male,33,2,0.0,2,yes,no,2010.98
338,805,Spain,Female,39,5,165272.13,1,yes,no,14109.85
339,716,Germany,Female,39,10,115301.31,1,yes,no,43527.4
340,642,Germany,Female,40,6,129502.49,2,no,yes,86099.23
341,659,France,Male,31,4,118342.26,1,no,no,161574.19
342,545,Spain,Female,47,5,0.0,2,yes,yes,38970.14
343,543,France,Male,22,8,0.0,2,no,no,127587.22
344,718,France,Female,25,7,0.0,2,yes,no,30380.12
345,840,France,Female,43,7,0.0,2,yes,no,90908.95
346,630,Germany,Female,34,9,106937.05,2,yes,no,138275.01
347,643,Germany,Male,59,3,170331.37,1,yes,yes,32171.79
348,654,Germany,Female,32,1,114510.85,1,yes,yes,126143.23
349,582,France,Male,39,5,0.0,2,yes,yes,129892.93
350,659,Spain,Male,32,3,107594.11,2,yes,yes,102416.84
351,762,Spain,Male,39,2,81273.13,1,yes,yes,18719.67
352,568,Spain,Female,32,7,169399.6,1,yes,no,61936.22
353,670,Spain,Male,25,6,0.0,2,yes,yes,78358.94
354,613,France,Female,45,1,187841.99,2,yes,yes,147224.27
355,539,France,Male,30,0,0.0,2,yes,no,160979.66
356,850,Spain,Female,57,8,126776.3,2,yes,yes,132298.49
357,522,Spain,Male,34,9,126436.29,1,yes,no,174248.52
358,737,France,Male,41,1,101960.74,1,yes,yes,123547.28
359,520,France,Male,58,3,0.0,2,no,yes,32790.02
360,706,Spain,Male,28,3,0.0,2,no,yes,181543.67
361,643,Germany,Female,45,2,150842.93,1,no,yes,2319.96
362,648,France,Female,50,9,102535.57,1,yes,yes,189543.19
363,443,Germany,Female,29,9,99027.61,2,yes,no,10940.4
364,640,France,Male,68,9,0.0,2,yes,yes,199493.38
365,628,Spain,Female,33,3,0.0,1,yes,yes,188193.25
366,540,Germany,Female,42,9,87271.41,2,yes,no,172572.64
367,460,Germany,Female,35,8,102742.91,2,yes,yes,189339.6
368,636,Germany,Male,34,2,40105.51,2,no,yes,53512.16
369,593,France,Female,29,2,152265.43,1,yes,no,34004.44
370,801,Spain,Male,42,4,141947.67,1,yes,yes,10598.29
371,640,Germany,Female,75,1,106307.91,2,no,yes,113428.77
372,611,Germany,Male,31,0,107884.81,2,yes,yes,183487.98
373,802,Germany,Male,31,1,125013.72,1,yes,yes,187658.09
374,717,Germany,Male,35,7,58469.37,2,yes,yes,172459.39
375,769,France,Female,39,8,0.0,1,no,yes,21016.0
376,745,Germany,Male,45,10,117231.63,3,yes,yes,122381.02
377,572,Spain,Male,35,4,152390.26,1,yes,no,128123.66
378,629,Spain,Female,30,2,34013.63,1,yes,no,19570.63
379,687,Spain,Female,39,2,0.0,3,no,no,188150.6
380,483,France,Female,50,9,0.0,2,yes,yes,111020.24
381,690,France,Male,36,7,101583.11,2,yes,no,123775.15
382,492,Germany,Female,30,10,77168.87,2,no,yes,146700.22
383,709,Germany,Male,28,8,124695.72,2,yes,no,145251.35
384,705,Germany,Male,44,3,105934.96,1,yes,no,82463.69
385,560,France,Female,66,9,0.0,1,yes,yes,15928.49
386,611,Spain,Male,46,6,0.0,2,yes,no,45886.33
387,730,Spain,Male,62,2,0.0,2,yes,yes,186489.95
388,709,Spain,Female,45,2,0.0,2,no,yes,162922.65
389,544,France,Female,21,10,161525.96,2,yes,no,9262.77
390,712,Germany,Female,29,7,147199.07,1,yes,yes,84932.4
391,752,Germany,Male,38,3,183102.29,1,yes,yes,71557.12
392,648,Spain,Male,46,9,127209.0,2,yes,no,77405.95
393,556,Spain,Male,38,8,0.0,2,no,no,417.41
394,594,Spain,Female,24,0,97378.54,1,yes,yes,71405.17
395,645,Germany,Female,37,2,136925.09,2,no,yes,153400.24
396,557,France,Male,33,3,54503.55,1,yes,yes,371.05
397,547,Germany,Male,32,8,155726.85,1,yes,no,67789.99
398,701,France,Female,39,9,0.0,2,no,yes,145894.9
399,616,France,Female,66,1,135842.41,1,yes,no,183840.51
400,605,France,Male,52,1,63349.75,1,yes,no,108887.44
401,593,Germany,Female,38,4,129499.42,1,yes,yes,154071.27
402,751,Spain,Male,52,8,0.0,2,no,yes,179291.85
403,443,Spain,Male,36,6,70438.01,2,no,yes,56937.43
404,685,France,Male,23,8,0.0,2,yes,yes,112239.03
405,718,France,Male,36,9,0.0,1,yes,no,45909.87
406,538,Spain,Female,49,9,141434.04,1,no,no,173779.25
407,611,Spain,Female,37,4,0.0,2,yes,no,125696.26
408,668,Germany,Male,37,10,152958.29,2,yes,yes,159585.61
409,537,Germany,Female,41,3,138306.34,1,yes,no,106761.47
410,709,Spain,Male,23,10,0.0,2,no,no,129590.18
411,850,France,Male,38,1,0.0,2,yes,yes,80006.65
412,745,Spain,Female,31,3,124328.84,1,yes,yes,140451.52
413,693,Germany,Female,41,9,181461.48,3,yes,yes,187929.43
414,795,Spain,Male,35,8,0.0,2,yes,no,167155.36
415,626,Spain,Male,26,8,0.0,2,no,no,191420.71
416,487,Germany,Female,61,5,110368.03,1,no,no,11384.45
417,556,France,Female,39,9,89588.35,1,yes,yes,94898.1
418,643,France,Female,46,6,0.0,2,no,no,106781.59
419,605,France,Female,28,6,0.0,2,no,no,159508.52
420,756,Germany,Female,60,3,115924.89,1,yes,no,93524.19
421,586,France,Female,38,2,0.0,2,yes,no,87168.46
422,535,Germany,Male,40,7,111756.5,1,yes,no,8128.32
423,678,France,Female,35,4,0.0,1,yes,no,125518.32
424,596,France,Male,39,9,0.0,1,yes,no,48963.59
425,648,France,Male,26,9,162923.85,1,yes,no,98368.24
426,492,Germany,Male,39,10,124576.65,2,yes,no,148584.61
427,702,France,Male,45,0,80793.58,1,yes,yes,27474.81
428,486,Germany,Female,40,9,71340.09,1,yes,no,76192.21
429,568,Germany,Male,40,1,99282.63,1,no,no,134600.94
430,619,Germany,Male,57,3,137946.39,1,yes,yes,72467.99
431,724,Germany,Male,41,2,127892.57,2,no,yes,199645.45
432,548,Germany,Female,33,0,101084.36,1,yes,no,42749.85
433,545,Germany,Female,37,8,114754.08,1,yes,no,136050.44
434,683,France,Male,33,8,0.0,1,no,no,73564.44
435,762,France,Female,51,3,99286.98,1,no,yes,85578.63
436,627,Germany,Female,30,4,79871.02,2,yes,no,129826.89
437,516,France,Male,35,10,104088.59,2,no,no,119666.0
438,800,France,Female,38,2,168190.33,2,yes,no,68052.08
439,464,Germany,Female,42,3,85679.25,1,yes,yes,164104.74
440,626,France,Female,35,3,0.0,1,no,no,80190.36
441,790,France,Female,31,9,0.0,2,yes,no,84126.75
442,534,France,Female,34,7,121551.58,2,yes,yes,70179.0
443,745,France,Male,46,2,122220.19,1,yes,yes,118024.1
444,553,Spain,Male,47,3,116528.15,1,no,no,145704.19
445,748,France,Female,26,1,77780.29,1,no,yes,183049.41
446,722,France,Male,37,2,0.0,1,no,no,120906.83
447,501,France,Male,40,4,125832.2,1,yes,yes,100433.83
448,675,France,Female,38,6,68065.8,1,no,no,138777.0
